,yyyyq,r,logDP,logDY,logEP,logDE,svar,b/m,ntis,tbl,lty,ltr,tms,dfy,dfr,lagINFL
479,19904,0.06742090013573754,-3.3077113410643197,-3.231700729357712,-2.739175853130079,-0.5685354879342405,0.007727252,0.48449686,-0.001845908,0.0674,0.0844,0.082434252,0.017,0.013800000000000007,-0.022955378999999998,0.021555042
480,19911,0.1189674408930349,-3.433480963050464,-3.3057275414386855,-2.885851315173074,-0.5476296478773899,0.006999951,0.4571256,0.003251396,0.0591,0.0844,0.019899948,0.025300000000000003,0.0116,0.018476192000000002,0.008289375
481,19912,-0.018827952659758656,-3.419551010766845,-3.4304302948973313,-2.9508448393040596,-0.46870617146278515,0.004837834,0.458243743,0.014247489,0.0557,0.086,0.0076118,0.030299999999999994,0.009499999999999995,0.008310063000000001,0.00896861
482,19913,0.03740864544579356,-3.4530797760875105,-3.409068562804394,-3.080323027725431,-0.37275674836207895,0.003617664,0.441531837,0.023289044,0.0522,0.079,0.082055884,0.026799999999999997,0.009000000000000008,-0.009086367999999997,0.007407407
483,19914,0.06653140236343366,-3.5316202026998593,-3.4589626266183924,-3.2625900636226404,-0.2690301390772187,0.005224232,0.420344417,0.031812384,0.0407,0.073,0.072537013,0.032299999999999995,0.009500000000000008,-0.013339805999999996,0.008823529
484,19921,-0.03836308278043771,-3.489098675948213,-3.52175344511514,-3.2162534889930905,-0.27284518695512233,0.002255428,0.402106034,0.041900538,0.0404,0.0797,-0.036607067,0.039299999999999995,0.008999999999999994,0.021498409,0.005102041
485,19922,0.007782863196293708,-3.500386294695566,-3.4894232985772606,-3.1754600490714138,-0.3249262456241521,0.003103992,0.392042354,0.04307656,0.0366,0.0765,0.046457658,0.0399,0.008300000000000002,-0.0033951839999999955,0.010152284
486,19923,0.020505173420347418,-3.517709683635312,-3.494317087313786,-3.142411334487988,-0.3752983491473237,0.002139252,0.397656972,0.041137782,0.0291,0.071,0.066131843,0.04189999999999999,0.006999999999999992,-0.015757878999999995,0.006460876
487,19924,0.04220295191065938,-3.560490821490873,-3.5185167861811424,-3.1278122466945395,-0.4326785747963335,0.001923792,0.394109614,0.038828688,0.0322,0.0726,0.005317233,0.0404,0.008300000000000002,0.008474313,0.007845934
488,19931,0.03442265466574968,-3.5889045931665424,-3.5529296529064784,-3.125251722835533,-0.46365287033100955,0.002500472,0.333613526,0.037106414,0.0295,0.0702,0.066626422,0.0407,0.005699999999999997,-0.012758322000000002,0.004246285
489,19932,-0.0034622089441184037,-3.5828577139241093,-3.5853848711103646,-3.1487663742857652,-0.4340913396383441,0.002395945,0.325931248,0.041154021,0.0307,0.0668,0.057369669,0.03609999999999999,0.00739999999999999,-0.020648003999999998,0.011980268
490,19933,0.01718505731157058,-3.6016502027062587,-3.5831771772284795,-3.1128727161620304,-0.4887774865442282,0.001361206,0.322351822,0.041840711,0.0295,0.0627,0.063860605,0.03320000000000001,0.0068000000000000005,-0.020405961,0.005571031
491,19934,0.015917233812164814,-3.6132810843419514,-3.5970279439187656,-3.059120921872198,-0.5541601624697531,0.001160261,0.305267223,0.04572687,0.0306,0.0654,-0.014581737,0.0348,0.007599999999999996,0.007393425000000001,0.004847645
